exact_accuracy,synonym_accuracy,fuzzy_accuracy,judgellm_accuracy,num_samples,model
0.2081818181818182,0.2081818181818182,0.25181818181818183,0.36,1100,Qwen2.5-1.5B-Instruct
0.7027272727272728,0.7027272727272728,0.7209090909090909,0.8290909090909091,1100,claude-3-7-sonnet-20250219
0.6963636363636364,0.6963636363636364,0.72,0.83,1100,gpt-4.1-2025-04-14
0.5954545454545455,0.5954545454545455,0.64,0.7809090909090909,1100,gpt-4.1-mini
0.4709090909090909,0.4709090909090909,0.5345454545454545,0.6727272727272727,1100,phi-4
0.40636363636363637,0.40636363636363637,0.4509090909090909,0.5954545454545455,1100,Qwen3-8B
0.45545454545454545,0.45545454545454545,0.5118181818181818,0.6218181818181818,1100,gpt-4.1-nano
0.6954545454545454,0.6954545454545454,0.73,0.8354545454545454,1100,gemini-2.0-flash
